SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BIOCON","440.40","442.60","435.65","437.20","437.65","-","0.45","0.1","1258902","55.09","447.15","331.00","5.29","9.72"
"MANKIND","2,489.50","2,525.00","2,481.50","2,484.20","2,523.50","-","39.3","1.58","219377","54.96","2,694.90","1,909.70","4.53","-4.86"
"ADANIPORTS","1,836.10","1,846.80","1,828.00","1,837.40","1,840.20","-","2.8","0.15","293439","53.98","1,891.10","1,290.50","0.28","27.54"
"CEATLTD","3,576.50","3,585.00","3,470.40","3,549.90","3,480.00","-","-69.9","-1.97","151870","53.31","4,438.00","3,000.50","0.84","-9.1"
"ESCORTS","2,916.00","3,037.00","2,916.00","2,937.00","3,005.70","-","68.7","2.34","176358","53.14","4,180.00","2,700.00","6.62","-11.92"
"AUROPHARMA","1,533.40","1,561.50","1,533.40","1,533.40","1,540.90","-","7.5","0.49","341897","52.82","1,636.80","1,016.10","2.93","35.3"
"ITCHOTELS","171.90","171.90","165.70","172.41","165.72","-","-6.69","-3.88","3107036","52.04","261.62","137.30","-3.05","-34.96"
"INDUSINDBK","1,029.00","1,032.80","1,017.50","1,027.20","1,023.50","-","-3.7","-0.36","505659","51.80","1,038.00","710.60","8","17.61"
"LODHA","1,188.60","1,195.00","1,180.00","1,188.75","1,189.30","-","0.55","0.05","432628","51.41","1,461.50","650.80","29.55","-17.68"
"NATCOPHARM","952.05","987.55","950.05","945.00","957.70","-","12.7","1.34","522953","50.55","1,226.80","789.00","7.67","-7.53"
"HINDUNILVR","2,153.80","2,153.80","2,128.40","2,143.80","2,138.20","-","-5.6","-0.26","235542","50.32","2,750.00","2,022.50","-2.54","-14.09"
"TITAN","4,638.10","4,660.00","4,625.30","4,638.10","4,645.80","-","7.7","0.17","107142","49.77","4,679.80","3,303.10","5.13","36.55"
